genres,id,original_language,release_date,title,vote_average
"[{""id"": 18, ""name"": ""Drama""}]",3059,en,1916-04-09,Intolerance,7.4
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",3060,en,1925-05-11,The Big Parade,7
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",19,de,1927-10-01,Metropolis,8
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",65203,en,1929-08-02,The Broadway Melody,5
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",22649,en,1932-08-12,A Farewell to Arms,6.2
"[{""id"": 10402, ""name"": ""Music""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",3062,en,1933-02-02,42nd Street,6.1
"[{""id"": 35, ""name"": ""Comedy""}]",43595,en,1933-09-02,She Done Him Wrong,5.1
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",3080,en,1935-06-09,Top Hat,7.4
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",3082,en,1936-05-02,Modern Times,8.1
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",43867,en,1937-03-09,The Prisoner of Zenda,8.4
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",223,en,1940-12-04,Rebecca,7.7
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",43306,en,1944-01-03,A Guy Named Joe,6
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",43546,en,1944-01-07,Bathing Beauty,7
"[{""id"": 18, ""name"": ""Drama""}]",43610,en,1945-01-06,The Valley of Decision,5.8
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",33667,en,1947-11-11,Gentleman's Agreement,6.8
"[{""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",35032,en,1948-11-06,The Pirate,6.6
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",11620,en,1951-08-11,Quo Vadis,7
"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",27191,en,1952-10-01,The Greatest Show on Earth,6.6
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",872,en,1952-10-04,Singin' in the Rain,7.8
"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",11426,en,1953-04-08,From Here to Eternity,7.2
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",11219,en,1955-03-10,The Trouble with Harry,6.9
"[{""id"": 18, ""name"": ""Drama""}]",48035,da,1955-09-01,Ordet,7.8
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",826,en,1957-02-10,The Bridge on the River Kwai,7.7
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",11536,en,1961-01-01,The Misfits,6.8
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",821,en,1961-01-12,Judgment at Nuremberg,7.6
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",646,en,1962-04-10,Dr. No,6.9
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",947,en,1962-10-12,Lawrence of Arabia,7.8
"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",27759,en,1963-06-05,55 Days at Peking,6.3
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",5769,en,1963-06-10,Tom Jones,6.1
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",11576,en,1963-07-11,"It's a Mad, Mad, Mad, Mad World",7
"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",657,en,1963-11-10,From Russia with Love,6.9
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",8095,en,1963-12-06,Cleopatra,6.7
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",15875,en,1963-12-06,Donovan's Reef,6
"[{""id"": 18, ""name"": ""Drama""}]",91721,en,1964-01-01,Nothing But a Man,7
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",40652,fr,1964-04-12,The Married Woman,7.1
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",704,en,1964-06-07,A Hard Day's Night,7.3
"[{""id"": 37, ""name"": ""Western""}]",391,it,1964-12-09,A Fistful of Dollars,7.6
